ID,CODIGO-BARRA,DESCRICAO,PRECO-CUSTO,PRECO-VENDA,CATEGORIA
329,7896079846129,TUBIN DE TRUFAS 48 GR,"R$ 0,00","R$ 4,50",BOLACHAS
330,,VENDAS DIVERSAS,"R$ 0,00","R$ 143,76",CHOCOLATES
331,7896058500189,DISQUETI DE CHOCOLATE DORI 18G,"R$ 0,00","R$ 1,80",CHOCOLATES
332,7898405068588,CORNETA POP BRINQUEDO COM BALINHAS,"R$ 0,00","R$ 4,90",OVO
333,7896451912527,CANUDINHO DOCILE ACIDO MORANGO 15 G,"R$ 0,00","R$ 1,50",MARSHMALLOW
334,7896451913586,BALA CANUDINHO UNICÓRNIO 15G,"R$ 0,63","R$ 1,50",BALA MACIA
335,78938823,DROPS HALLS MENTOL 28G,"R$ 0,00","R$ 2,20",DROPS
336,7891118013838,"CHICLETE PLUTONITA ZUMBISS 22,5","R$ 0,87","R$ 1,75",CHICLETES
337,7891000368572,BARRA DE CHOCOLATE MEIO AMARGO 40% CACAU NESTLE CLASSIC,"R$ 0,00","R$ 8,50",CHOCOLATES
338,7891000369371,BARRA DE CHOCOLATE CRUNCH NESTLE 80G,"R$ 0,00","R$ 8,50",CHOCOLATES
339,7896079846747,TUBIN NAPOLITANO 48G,"R$ 0,00","R$ 4,50",BOLACHAS
340,7896079846730,TUBIN DE MORANGO 48G,"R$ 0,00","R$ 4,50",BOLACHAS
341,7896079846471,TUBIN DE BRIGADEIRO 48G,"R$ 1,89","R$ 4,50",BOLACHAS
342,,CESTA PRAGUINHA,"R$ 0,00","R$ 38,00",CESTAS
343,,CESTA AVULSA,"R$ 0,00","R$ 80,00",CESTAS
344,7896481056093,SALGADINHO FABITOS BACON 50G,"R$ 0,00","R$ 2,25",SALGADINHOS
345,7898279799809,ALGODÃO DOCE FINI DE UVA 35G,"R$ 0,00","R$ 12,00",MARSHMALLOW
346,7898279798550,ALGODÃO DOCE FINI DE MORANGO 35G,"R$ 0,00","R$ 12,00",MARSHMALLOW
347,7898279799786,ALGODÃO DOCE FINI CLÁSSICO 35G,"R$ 0,00","R$ 12,00",MARSHMALLOW
348,7908228802006,CHICLETE FINI MORANGO AZEDINHO 14G,"R$ 0,00","R$ 1,70",CHICLETES
349,7898279792077,FINIBURGUEGUERS GELATINAS 90G,"R$ 0,00","R$ 9,40",MARSHMALLOW
350,7908228804505,PACOTE DE MARSHMALLOW FINI TORÇÃO ROSA RECHEADO 80G,"R$ 0,00","R$ 12,90",MARSHMALLOW
351,7908228804451,SMOO FREE FINI CEREJA E NATA 80G,"R$ 0,00","R$ 9,40",MARSHMALLOW
352,7896004007045,SALGADINHO CHEEZ-IT DE PARMESÃO 65G,"R$ 2,85","R$ 5,70",SALGADINHOS
353,7896306624025,TRENTO AVELÃ CHOCO BRANCO 2 UNIDADES 32G,"R$ 0,00","R$ 3,25",CHOCOLATES
354,78933873,REFRIGERANTE COCA-COLA ZERO 200ML,"R$ 0,00","R$ 2,99",BEBIDAS
355,7895800002933,CHICLETE BUBBALOO DE UVA ROXO,"R$ 0,24","R$ 0,50",CHICLETES
356,,"SACOLINHA SURPRESA 10,00","R$ 0,00","R$ 3,50",CESTAS
357,7622210596413,"CAIXA DE BOMBOM LACTA 250,6","R$ 0,00","R$ 18,90",CHOCOLATES
358,7622210641939,BARRINHA LAKA OREO 20G,"R$ 0,00","R$ 2,00",CHOCOLATES
359,7622300862282,BARRINHA DIAMANTE NEGRO 20G,"R$ 0,00","R$ 2,00",CHOCOLATES
360,7622300862367,BARRINHA LACTA CHOCOLATE E LEITE 20G,"R$ 0,00","R$ 2,00",CHOCOLATES
361,7896306623448,TRENTO DUO 2 UNIDADES 32G,"R$ 0,00","R$ 3,25",CHOCOLATES
362,7898967923639,PIRULITO BOKA LOKA 12G,"R$ 0,00","R$ 3,30",PIRULITO
363,7891008124477,BARRA DE CHOCOLATE GAROTO NEGRESCO 80G,"R$ 0,00","R$ 8,50",CHOCOLATES
364,7891008124071,BARRA DE CHOCOLATE GAROTO CROCANTE 80G,"R$ 0,00","R$ 8,50",CHOCOLATES
365,7891000368626,BARRA DE CHOCOLATE GALAK NESTLE 80G,"R$ 0,00","R$ 8,50",CHOCOLATES
366,,PACOTE DE PIRULITO BIG BIG,"R$ 0,00","R$ 10,90",PIRULITO
367,7896066760278,CAIXA DE TOP BEL,"R$ 0,00","R$ 40,00",CHOCOLATES
368,7891000329665,BARRA DE CHOCOLATE SUFLAIR DUO 80G,"R$ 0,00","R$ 8,90",CHOCOLATES
369,7891000336281,BARRA DE CHOCOLATE ALPINO BLACK TOP 85G,"R$ 0,00","R$ 8,90",CHOCOLATES
370,7891000336311,BARRA DE CHOCOLATE ALPINO WHITE TOP 85G,"R$ 6,14","R$ 8,90",CHOCOLATES
371,7891000336373,BARRA DE CHOCOLATE ALPINO AO LEITE 85G,"R$ 6,15","R$ 8,90",CHOCOLATES
372,7891008123975,BARRA DE CHOCOLATE GAROTO AO LEITE 80G,"R$ 0,00","R$ 8,50",CHOCOLATES
